"X","decision_factors_decision_factors_party","decision_factors_decision_factors_personalvalues","decision_factors_decision_factors_experts","decision_factors_decision_factors_constituents","accuracy","accuracy_response","preference","preference_response","familiarity","partisan_bias","partisan_diss","pid_3","gov_exp","pid_indep","Staffer","area","ideo5","issue","republican","liberal","age","female","republican_alignment","democrat_alignment","deference_experts","deference_party","deference_personalvalues","deference_constituents","accuracy_3","treated","accuracy_bin","issue_full","Level","weight","Population_bin","Education_bin","Urban_bin","Voteshare_bin"
392,0,0,0.5,0.25,0.5,0,0.667,0.166,0.67,0,"Neither party is more likely than the other to support the use of needle exchanges","Democrat",42,NA,0,"district","Somewhat liberal","NEP",0,1,NA,NA,0,0,0.5,0,0,0.25,"Unsure",0,0,"Needle Exchange","state",1,NA,NA,NA,NA
393,0.5,0.75,1,0.5,0.75,NA,0.667,NA,0.67,1,"Democrats are more likely to support the use of needle exchanges","Republican",19,NA,0,"county","Somewhat conservative","NEP",1,0,NA,NA,0,1,0.375,-0.125,0.125,-0.125,"Informed",1,1,"Needle Exchange","county",0.718479841722498,"HIGH","low","low","HIGH"
394,0.5,0.5,1,0.25,0.75,0.25,1,0,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",4,NA,1,"district","Somewhat liberal","NEP",0,1,53,1,0,1,0.5,0,0,-0.25,"Informed",0,1,"Needle Exchange","state",1,NA,NA,NA,NA
395,0,0.75,0.75,0.5,0.5,NA,0.333,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Independent",35,"Republican Party",0,"local area","Moderate, middle of the road","NEP",1,0,63,0,0,1,0.375,-0.375,0.375,0.125,"Unsure",1,0,"Needle Exchange","municipality",2.29876260014031e-14,"low","low","HIGH","low"
396,0.25,0.75,1,0.5,1,0,1,0,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",23,NA,1,"district","Somewhat liberal","NEP",0,1,71,1,0,1,0.5,-0.25,0.25,0,"Informed",0,1,"Needle Exchange","state",0.533273297088251,"HIGH","low","HIGH","low"
397,0,0,0.75,0.25,1,NA,1,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Independent",8,"Democratic Party",0,"local area","Somewhat liberal","NEP",0,1,60,1,0,1,0.75,0,0,0.25,"Informed",1,1,"Needle Exchange","municipality",9.34530940872844e-15,"low","HIGH","HIGH","HIGH"
398,1,1,1,1,1,NA,1,NA,0.33,0,"Republicans are more likely to support the use of needle exchanges","Republican",4,NA,0,"county","Very conservative","NEP",1,0,62,0,1,0,0,0,0,0,"Informed",1,1,"Needle Exchange","county",0.495051171456088,"HIGH","low","low","HIGH"
399,0.5,0.75,0.5,0.5,0.75,NA,0.333,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Republican",15,NA,0,"county","Somewhat conservative","NEP",1,0,NA,NA,0,1,-0.125,-0.125,0.125,-0.125,"Informed",1,1,"Needle Exchange","county",1.1676963380765,"low","HIGH","low","HIGH"
400,0.5,1,0.25,1,1,NA,0.333,NA,0.67,1,"Democrats are more likely to support the use of needle exchanges","Republican",24,NA,0,"county","Very conservative","NEP",1,0,53,1,0,1,-0.5,-0.25,0.25,0.25,"Informed",1,1,"Needle Exchange","local",1,NA,NA,NA,NA
401,0.75,0,1,0.5,0.75,0.25,1,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",4,NA,1,"state","Very liberal","NEP",0,1,64,0,0,1,0.625,0.375,-0.375,0.125,"Informed",0,1,"Needle Exchange","state",NA,NA,NA,NA,NA
402,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,"Republican",22,NA,0,"county","Somewhat conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","county",0.495051171456088,"HIGH","HIGH","low","HIGH"
403,0.75,1,1,1,1,0,1,0,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",6,NA,1,"district","Very liberal","NEP",0,1,31,0,0,1,0.125,-0.125,0.125,0.125,"Informed",0,1,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",23,NA,1,"district","Moderate, middle of the road","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","state",0.99976235590456,"HIGH","low","low","HIGH"
405,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,"Republican",5,NA,0,"local area","Very conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","local",5.00007598160723,NA,NA,NA,NA
406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",NA,NA,1,"district","Somewhat conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",0.99976235590456,"HIGH","low","low","HIGH"
407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",0.78064721381666,"HIGH","low","low","low"
408,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,"Republican",8,NA,0,"district","Very conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","state",1,NA,NA,NA,NA
409,0.5,0.5,1,0.5,0.5,0,0.167,0.333,0.67,0,"Neither party is more likely than the other to support the use of needle exchanges","Democrat",13,NA,0,"county","Very conservative","NEP",0,0,NA,NA,0,0,0.5,0,0,0,"Unsure",0,0,"Needle Exchange","county",0.718479841722498,"low","low","low","low"
410,0.25,0.25,1,0.5,0.5,0.5,0.5,0.5,0.33,0,"Democrats are more likely to support the use of needle exchanges","Republican",1,NA,1,"district","Very conservative","NEP",1,0,NA,NA,0,1,0.75,0,0,0.25,"Unsure",0,0,"Needle Exchange","state",0.99976235590456,"HIGH","low","low","HIGH"
411,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,"Independent",2.5,"Republican Party",0,"county","Very conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","county",0.474967552135226,"low","low",NA,"HIGH"
412,0.25,1,0.75,0.25,0.75,NA,1,NA,1,0,"Democrats are more likely to support the use of needle exchanges","Independent",2,"Republican Party",0,"local area","Moderate, middle of the road","NEP",1,0,NA,NA,0,1,0.125,-0.375,0.375,-0.375,"Informed",1,1,"Needle Exchange","local",5.00007598160723,NA,NA,NA,NA
413,0.25,0.75,0.75,0.5,0.5,0.25,0.667,0,0.33,0,"Neither party is more likely than the other to support the use of needle exchanges","Democrat",18,NA,1,"district","Moderate, middle of the road","NEP",0,0,NA,NA,0,0,0.25,-0.25,0.25,0,"Unsure",0,0,"Needle Exchange","state",1.11719694762459,"low","HIGH","HIGH",NA
414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",0.545387567009102,"HIGH","HIGH","low",NA
415,0.25,0.75,0.75,0.25,1,NA,0.833,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Republican",3,NA,0,"local area","Moderate, middle of the road","NEP",1,0,NA,NA,0,1,0.25,-0.25,0.25,-0.25,"Informed",1,1,"Needle Exchange","municipality",9.34530940872844e-15,"HIGH","HIGH","HIGH","HIGH"
416,0,0.25,1,0,0.25,0.5,0.833,0,0.67,0,"Neither party is more likely than the other to support the use of needle exchanges","Democrat",1,NA,1,"district","Somewhat liberal","NEP",0,1,26,1,0,0,0.875,-0.125,0.125,-0.125,"Misinformed",0,0,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
417,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,"Republican",23,NA,1,"district","Very conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",0.990359041190242,"HIGH","HIGH","low","HIGH"
418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
419,0.5,0.5,0.5,0.5,0.75,0,0.833,0.167,0.67,1,"Neither party is more likely than the other to support the use of needle exchanges","Republican",30,NA,1,"district","Somewhat conservative","NEP",1,0,NA,NA,0,0,0,0,0,0,"Informed",0,1,"Needle Exchange","state",1,NA,NA,NA,NA
420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",10,NA,1,"district","Somewhat conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",1.6663495146893,"low","HIGH","low",NA
421,0.5,0.25,0.5,0.75,0.75,0.25,0.5,0,0.67,1,"Democrats are more likely to support the use of needle exchanges","Republican",7,NA,1,"district","Moderate, middle of the road","NEP",1,0,NA,NA,0,1,0.125,0.125,-0.125,0.375,"Informed",0,1,"Needle Exchange","state",1,NA,NA,NA,NA
422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",1.6847845404614,"low","low","HIGH","low"
423,0,1,1,0.5,NA,NA,NA,NA,0.67,NA,"Neither party is more likely than the other to support the use of needle exchanges","Republican",21,NA,1,"state","Somewhat conservative","NEP",1,0,NA,NA,0,0,0.5,-0.5,0.5,0,NA,1,NA,"Needle Exchange","state",NA,NA,NA,NA,NA
424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",30,NA,1,"state","Somewhat conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","state",NA,"low","low","low","HIGH"
425,0.5,0.5,0.75,0.5,1,NA,1,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",10,NA,1,"state","Very liberal","NEP",0,1,NA,NA,0,1,0.25,0,0,0,"Informed",1,1,"Needle Exchange","state",NA,"HIGH","HIGH","HIGH",NA
426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",4,NA,1,"district","Very conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",1.6663495146893,"low","low","low",NA
427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
428,0,1,1,1,0.75,NA,0.667,NA,0.33,0,"Democrats are more likely to support the use of needle exchanges","Democrat",37,NA,1,"district","Moderate, middle of the road","NEP",0,0,NA,NA,0,1,0.5,-0.5,0.5,0.5,"Informed",1,1,"Needle Exchange","state",1,NA,NA,NA,NA
429,0,0.75,0.75,0.5,NA,NA,NA,NA,0.33,0,"Democrats are more likely to support the use of needle exchanges","Independent",1,"Democratic Party",1,"district","Somewhat liberal","NEP",0,1,NA,NA,0,1,0.375,-0.375,0.375,0.125,NA,1,NA,"Needle Exchange","state",0.851079886143661,"HIGH","low","low",NA
430,0.25,0.75,0.75,0.75,0.75,NA,0.167,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Republican",5,NA,1,"district","Moderate, middle of the road","NEP",1,0,NA,NA,0,1,0.25,-0.25,0.25,0.25,"Informed",1,1,"Needle Exchange","state",0.990359041190242,"HIGH","HIGH","low","HIGH"
431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",NA,NA,1,"district",NA,"NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",0.545387567009102,"HIGH","HIGH","low",NA
432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",19,NA,1,"district","Moderate, middle of the road","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",1.6663495146893,"low","low","low",NA
433,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0,NA,"Democrat",5,NA,1,"district","Moderate, middle of the road","NEP",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","state",1,NA,NA,NA,NA
434,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,"Democrat",11,NA,1,"district","Very liberal","NEP",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",0.724502266086655,"HIGH","HIGH","low","low"
435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"local area",NA,"NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","municipality",2.50842563896479,"low","low","HIGH","HIGH"
436,0,0.25,0.75,1,0.25,NA,0.5,NA,0.33,0,"Democrats are more likely to support the use of needle exchanges","Independent",12,"Democratic Party",0,"county","Somewhat conservative","NEP",0,0,78,0,0,1,0.625,-0.125,0.125,0.875,"Misinformed",1,0,"Needle Exchange","county",0.876274790964345,"low","low","low","low"
437,0.25,0.25,0.75,0.5,NA,NA,NA,NA,1,NA,NA,"Republican",3,NA,1,"district","Moderate, middle of the road","NEP",1,0,NA,NA,0,0,0.5,0,0,0.25,NA,0,NA,"Needle Exchange","state",0.843075011816107,"HIGH","HIGH","low",NA
438,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",5,NA,1,"district","Very liberal","NEP",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
439,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,"Republican",8,NA,0,"local area","Very conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","township",2.50842563896479,"low","low","HIGH","HIGH"
440,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",2,NA,1,"district","Somewhat liberal","NEP",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","state",0.550565942447265,"HIGH","low","HIGH",NA
441,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",9,NA,0,"local area","Somewhat conservative","NEP",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","municipality",2.50842563896479,"low","low","HIGH","HIGH"
442,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0,0.33,0,"Neither party is more likely than the other to support the use of needle exchanges","Democrat",4,NA,1,"district","Somewhat liberal","NEP",0,1,NA,NA,0,0,0.125,0.125,-0.125,0.125,"Unsure",0,0,"Needle Exchange","state",1,NA,NA,NA,NA
443,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",22,NA,1,"district","Somewhat liberal","NEP",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","state",0.523381605575244,"HIGH","HIGH","HIGH","low"
444,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,"Republican",20,NA,0,"district","Somewhat conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","state",1,NA,NA,NA,NA
445,0.5,1,1,0.5,0.75,0.25,0.833,0.167,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",1,NA,1,"district","Very liberal","NEP",0,1,NA,NA,0,1,0.25,-0.25,0.25,-0.25,"Informed",0,1,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",20,NA,0,"district","Moderate, middle of the road","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",0.99976235590456,"HIGH","low","low","HIGH"
447,0,1,0.5,0,0.75,NA,0.167,NA,0.33,NA,"Democrats are more likely to support the use of needle exchanges","Independent",1,"Neither",1,"district","Not sure","NEP",NA,0,NA,NA,0,1,0,-0.5,0.5,-0.5,"Informed",0,1,"Needle Exchange","state",0.990359041190242,"HIGH","HIGH","low","HIGH"
448,0.25,1,0.75,1,0,NA,1,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",40,NA,0,"district","Moderate, middle of the road","NEP",0,0,NA,NA,0,1,0.125,-0.375,0.375,0.375,"Misinformed",0,0,"Needle Exchange","state",1.66893821541604,"low","HIGH","HIGH","low"
449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"district",NA,"NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",1,NA,NA,NA,NA
450,0.25,0.25,0.5,0.75,0.5,0,0.5,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Republican",12,NA,0,"county","Very conservative","NEP",1,0,NA,NA,0,1,0.25,0,0,0.5,"Unsure",0,0,"Needle Exchange","county",1.38158342834313,"low","low","low","HIGH"
451,0.25,0.25,0.25,0.25,0.75,0,0.833,0.167,0.33,1,"Republicans are more likely to support the use of needle exchanges","Republican",30,NA,0,"district","Somewhat conservative","NEP",1,0,NA,NA,1,0,0,0,0,0,"Informed",0,1,"Needle Exchange","state",0.99976235590456,"HIGH","low","low","HIGH"
452,0.5,0.75,1,0.75,0.5,0.25,0.167,0,0.33,0,"Neither party is more likely than the other to support the use of needle exchanges","Democrat",10,NA,0,"local area","Moderate, middle of the road","NEP",0,0,44,1,0,0,0.375,-0.125,0.125,0.125,"Unsure",0,0,"Needle Exchange","municipality",2.50842563896479,"low","low","HIGH","HIGH"
453,0,0.75,1,0.75,0.75,0.25,1,0,1,0,"Neither party is more likely than the other to support the use of needle exchanges","Democrat",17,NA,0,"county","Somewhat conservative","NEP",0,0,NA,NA,0,0,0.625,-0.375,0.375,0.375,"Informed",0,1,"Needle Exchange","county",0.748860181528868,"HIGH","low","low","HIGH"
454,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,"Independent",5,"Neither",0,"local area","Moderate, middle of the road","NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","local",5.00007598160723,NA,NA,NA,NA
455,0.75,0.75,0.75,0.75,0.75,NA,0.833,NA,0.67,0,"Neither party is more likely than the other to support the use of needle exchanges","Republican",6,NA,0,"district","Somewhat conservative","NEP",1,0,NA,NA,0,0,0,0,0,0,"Informed",0,1,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
456,0,0.5,0.75,0.25,0.75,0.25,0.833,0,1,0,"Democrats are more likely to support the use of needle exchanges","Republican",9,NA,0,"local area","Somewhat conservative","NEP",1,0,NA,NA,0,1,0.5,-0.25,0.25,0,"Informed",0,1,"Needle Exchange","township",9.34530940872844e-15,"low","HIGH","low","HIGH"
457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","state",0.523381605575244,"HIGH","HIGH","HIGH","low"
458,0.25,1,0.75,0.25,0.75,0.25,1,0,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",12,NA,0,"district","Somewhat liberal","NEP",0,1,NA,NA,0,1,0.125,-0.375,0.375,-0.375,"Informed",0,1,"Needle Exchange","state",0.73138130947991,"HIGH","low","low","low"
459,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",36,NA,0,"district","Somewhat liberal","NEP",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",1.6847845404614,"low","low","HIGH","low"
460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"county",NA,"NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","county",0.913327362751788,"low","low","low","HIGH"
461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republican",26,NA,0,"local area","Very conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","municipality",1.01976662242037,"low","low","low","HIGH"
462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other party (Please specify):",4,"Republican Party",1,"district","Very conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",1.13431075911112,"HIGH","HIGH","HIGH","HIGH"
463,0.25,0.75,0.75,0.5,0.75,0.25,0.667,0.166,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",4,NA,0,"local area","Somewhat liberal","NEP",0,1,NA,NA,0,1,0.25,-0.25,0.25,0,"Informed",0,1,"Needle Exchange","municipality",9.34530940872844e-15,"low","HIGH","HIGH","low"
464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"local area",NA,"NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","municipality",9.34530940872844e-15,"low","low","HIGH","low"
465,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0,NA,"Democrat",1,NA,1,"district","Very liberal","NEP",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","state",0.724502266086655,"HIGH","HIGH","low","low"
466,0.5,0.75,1,1,0.75,0.25,1,0,0.67,1,"Neither party is more likely than the other to support the use of needle exchanges","Republican",1,NA,0,"district","Somewhat conservative","NEP",1,0,52,1,0,0,0.375,-0.125,0.125,0.375,"Informed",0,1,"Needle Exchange","state",2.57989032166321,"low","HIGH","low","low"
467,0,0.25,0.75,0.5,0.25,NA,0.667,NA,0.33,0,"Democrats are more likely to support the use of needle exchanges","Independent",12,"Democratic Party",0,"county","Moderate, middle of the road","NEP",0,0,80,0,0,1,0.625,-0.125,0.125,0.375,"Misinformed",1,0,"Needle Exchange","county",0.495051171456088,"HIGH","low","low","HIGH"
468,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,"Republican",20,NA,0,"county","Somewhat conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","county",0.876274790964345,"low","low","low","HIGH"
469,0.75,0.75,0.75,0.5,0.25,0.5,0.667,0,0.33,0,"Democrats are more likely to support the use of needle exchanges","Independent",10,"Republican Party",0,"county","Somewhat conservative","NEP",1,0,79,1,0,1,0,0,0,-0.25,"Misinformed",0,0,"Needle Exchange","county",1.69470618096612,"low","low","low","HIGH"
470,0,0.5,0.5,0.5,0.75,NA,0.167,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Republican",8,NA,0,"local area","Somewhat conservative","NEP",1,0,NA,NA,0,1,0.25,-0.25,0.25,0.25,"Informed",1,1,"Needle Exchange","municipality",1.01976662242037,"low","HIGH","low","HIGH"
471,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,"Independent",18,"Republican Party",0,"local area","Somewhat conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","municipality",9.34530940872844e-15,"HIGH","HIGH","HIGH","low"
472,0.5,0.5,1,0,0.5,NA,0.5,NA,0.33,0,"Democrats are more likely to support the use of needle exchanges","Democrat",4,NA,0,"local area","Moderate, middle of the road","NEP",0,0,45,0,0,1,0.5,0,0,-0.5,"Unsure",1,0,"Needle Exchange","municipality",2.29876260014031e-14,"low","low","HIGH","low"
473,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,"Independent",3,"Neither",0,"local area","Somewhat conservative","NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","municipality",9.34530940872844e-15,"low","low","HIGH","low"
474,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,"Republican",21,NA,0,"district","Very conservative","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",1,NA,NA,NA,NA
475,0.25,1,1,0.25,0.25,-0.25,0.833,0,1,0,"Neither party is more likely than the other to support the use of needle exchanges","Other party (Please specify):",14,"Republican Party",0,"county","Very conservative","NEP",1,0,NA,NA,0,0,0.375,-0.375,0.375,-0.375,"Misinformed",0,0,"Needle Exchange","county",0.495051171456088,"HIGH","low","low","low"
476,0,0.75,0.5,0.75,0,0.75,0.833,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Republican",8,NA,0,"local area","Moderate, middle of the road","NEP",1,0,NA,NA,0,1,0.125,-0.375,0.375,0.375,"Misinformed",0,0,"Needle Exchange","municipality",2.50842563896479,"low","low","low","HIGH"
477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
478,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Republican",34,NA,0,"district","Moderate, middle of the road","NEP",1,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",1.13831149855159,"low","low","HIGH",NA
479,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",NA,NA,0,"district","Very liberal","NEP",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
480,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",15,NA,0,"local area","Somewhat liberal","NEP",0,1,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","municipality",2.29876260014031e-14,"HIGH","low","HIGH","HIGH"
481,0.25,0.75,1,0.5,1,NA,0.833,NA,0.67,0,"Neither party is more likely than the other to support the use of needle exchanges","Republican",2,NA,0,"local area","Moderate, middle of the road","NEP",1,0,NA,NA,0,0,0.5,-0.25,0.25,0,"Informed",1,1,"Needle Exchange","municipality",1.01976662242037,"HIGH","HIGH","HIGH","HIGH"
482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"district",NA,"NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
483,0,0.75,1,0.25,1,0,1,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Independent",6,"Democratic Party",0,"county","Somewhat liberal","NEP",0,1,58,1,0,1,0.625,-0.375,0.375,-0.125,"Informed",0,1,"Needle Exchange","county",0.495051171456088,"HIGH","HIGH","low","HIGH"
484,0.25,0.25,0.25,0.75,0.75,-0.5,0.167,0,0.33,1,"Democrats are more likely to support the use of needle exchanges","Republican",57,NA,0,"district","Very conservative","NEP",1,0,59,0,0,1,0,0,0,0.5,"Informed",0,1,"Needle Exchange","state",0.99976235590456,"HIGH","low","low","HIGH"
485,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,"Independent",4,"Democratic Party",1,"district","Moderate, middle of the road","NEP",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","state",1,NA,NA,NA,NA
486,0.5,0.5,0.75,0.5,0.75,NA,1,NA,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",28,NA,0,"district","Moderate, middle of the road","NEP",0,0,68,1,0,1,0.25,0,0,0,"Informed",1,1,"Needle Exchange","state",1.11719694762459,"low","HIGH","low",NA
487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"local area",NA,"NEP",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,"Needle Exchange","county",9.34530940872844e-15,"HIGH","HIGH","HIGH","low"
